Placa,Especie,WA,WA,WA,WA,WB,WB,WB,WB,WC,WC,WC,WC,Centro,25m,25m,25m,25m,5m,5m,5m,5m,ph,ph,ph
199,Alchornea latifolia,22,25,91,58,25,30,33,38,12,45,34,80,57,61,36,18,75,42,58,52,85,4.5,6.5,6.5
262,Inga micheliana,59,27,31,42,115,54,37,49,75,88,62,38,70,82,49,94,82,64,30,32,48,7,6.5,4.5
629,Alchornea latifolia,53,10,24,29,45,100,24,34,28,57,37,0,98,11,0,88,24,0,0,42,0,4.5,7,5.5
747,Inga micheliana,70,23,117,75,25,46,43,53,120,91,32,22,82,17,92,30,20,24,16,20,52,6.5,7,6.5
1278,Inga micheliana,45,88,39,105,30,84,59,23,66,39,55,104,58,55,52,95,0,43,72,49,25,4.5,8,4.5
1853,Inga micheliana,21,33,64,60,42,48,52,62,16,128,130,72,27,30,65,15,60,35,12,30,54,4.5,6.5,6.5
1867,Inga micheliana,28,71,53,67,113,102,77,57,86,101,85,65,100,81,42,88,61,99,75,106,54,6.5,6.5,6.5
2098,Alchornea latifolia,86,115,127,25,38,47,135,43,60,62,70,140,260,68,27,140,300,85,34,61,32,6.5,6.5,6.5
2110,Inga micheliana,106,120,90,79,92,45,71,130,56,50,24,11,85,119,102,51,27,76,72,43,150,6.5,4.5,6.5
2276,Inga micheliana,3,50,27,30,60,40,17,30,102,42,30,50,100,66,45,119,40,30,7,19,25,6.5,4.5,6.5
2414,Alchornea latifolia,77,63,43,52,14,52,21,71,61,45,56,52,87,39,9,111,26,7,4,13,42,6.5,7,7
2984,Alchornea latifolia,58,40,10,11,22,37,15,50,28,51,21,26,80,91,71,92,0,47,22,28,24,7,6.5,6.5
3120,Inga micheliana,58,48,25,30,35,105,20,21,54,16,12,53,36,18,32,32,13,44,12,32,13,5.5,5.5,6.5
3135,Alchornea latifolia,109,134,0,103,67,47,78,34,103,40,0,102,44,50.2,40.2,64,45,55,45,259,23,4.5,6.5,6.5
3220,Inga micheliana,70,13,74,112,102,73,65,23,98,82,32,24,94,66,92,69,88,11,137,104,128,6.5,6.5,4.5
3360,Alchornea latifolia,104,112,85,102,115,60,71,82,143,93,108,150,125,150,113,203,63,88,127,100,95,6.5,6.5,6.5
3376,Alchornea latifolia,38,75,58,53,107,90,104,108,51,30,129,70,130,59,29,74,46,99,57,124,52,6.5,6.5,7
3560,Inga micheliana,98,69,34,30,91,65,100,0,17,53,0,114,15,41,54,0,11,18,35,0,5,6.5,6.5,4.5
3679,Inga micheliana,35,53,53,45,39,110,88,48,45,56,42,36,80,35,35,34,90,41,69,37,100,6.5,6.5,4.5
3910,Inga micheliana,84,71,65,34,80,102,40,30,16,37,26,60,101,78,93,41,62,15,13,44,37,6.5,6.5,4.5
4110,Alchornea latifolia,120,62,33,0,120,33,0,93,63,75,40,0,31,0,74,18,53,38,0,61,111,6.5,6.5,6.5
4150,Alchornea latifolia,4,0,56,34,35,6,35,15,76,0,105,276,72,41,48,61,11,29,26,109,23,6.5,6.5,7
4157,Inga micheliana,27,22,39,40,35,0,71,0,11,144,0,240,61,56,0,55,68,23,50,18,110,6.5,6.5,6.5
4358,Inga micheliana,107,130,56,88,119,87,93,71,50,17,46,37,90,43,62,150,80,54,16,16,40,6.5,6.5,6.5
4605,Alchornea latifolia,20,10,119,30,39,54,58,10,30,64,110,26,80,24,35,24,13,81,30,54,50,6.5,4.5,6.5
5307,Alchornea latifolia,17,26,37,38,52,24,55,70,25,20,28,43,38,43,50,70,55,15,30,68,50,6.5,7,6.5
5651,Alchornea latifolia,127,84,96,50,76,56,62,108,134,76,86,84,18,62,24,150,65,31,88,100,115,6.5,6.5,6.5
6100,Alchornea latifolia,86,60,105,85,109,52,101,93,135,74,93,81,62,56,73,57,150,62,84,92,93,6.5,6.5,6.5
